Author	Contribution Entry	Column	Year	Issue
Beauvoir, Simone de	Mandarins (Mandarini). Recenze s ukázkami. Viz zázn. 696. 87 Sf/a věci. (Vybrané kapitoly z knihy vzpomínek La Force ďdge.) Z francouzštiny přeložila Alena Šabatková. Úvodní poznámku napsala -ep- (= Eva Pilařová). 9/4, str. 199-214. - Fotografie autorky, Jean-Paul Sartre a Simone de Beauvoir na přednáškovém turné v Brazílii (1960).	French	1964	4
Beckett, Samuel	Akt beze slov. (Hra.) Viz zázn. 1033.			
Beckett, Samuel	88 Konec hry. (Hra.) Z francouzštiny přeložil Jiří Kolář. 8/3, str. 233-256.	French	1963	3
Bednói', Kamil	89 Zrozen( básníka. Stať o Robinsonovi Jeffersovi s citacemi jeho myšlenek. 4/1, str. 245-246. 25		1959	1
Beeck, Nick van	Ukázka z díla. Viz zázn. 651 .			
Beethoven, Ludwig van	90 ... Tu musím z ohniska extáze vychrlit melodii ... (Citát.) Přeloženo z němčiny . 4/3, str. 217.	German	1959	3
Behan, Brendan	91 Ostrov - New York. (N ě kolik epizod z cestopisů Ostrov Brendana Behana a New York Brendana Behana.) Z angličtiny přeložil a stať o autorovi napsal František Jungwirth. 10/4, str. 138-148. - Fotografie autora.	English	1965	4
Becher, Johannes Robert	92 Filosofie sonetu nebo Malá nauka o sonetu. ((Esej.) Z němčiny přeložil Karel Krejčí . Schlegelův sonet přeložil Valtr Chyba. 2/6, str. 183-195. - Úvodní poznámka s fotografií autora a fotografie J. R. Bechera s Vítězslavem Nezvalem.	German	1957	6
Becher, Johannes Robert	93 Thomas Mann říká, že literatura se stane skutečně humanistickou .. . (Citát.) Přeloženo z němčiny. 3/3, str. 245.	German	1958	3
Belinskij, Vissarion Grigor'jevič	94 Satirou nesmíme rozumět nevinné úšklebky šprýmovných vtipálků ... (Citát.) Přeloženo z ruštiny. 4/ 2, str. 223.	Russian		
Belinskij, Vissarion Grigor'jevič	95 Skutečně umělecké dílo .. . (Výroky o uměn í. ) Přeloženo z ruštiny. 1 /2, str. 165.	Russian		
Bell, Thomas	96 Muž, který udělal v Americe štěstí. (Povídka.) Z angličtiny přeložil Jiří Marek. Ilustroval V. Kyselka. 4/6, str. 32-35. - Poznámka.	English	1959	6
Bellow, Saul	Herzog. Recenze s ukázkami. Viz zázn. 1307.			
Bengtsson, Frans G.	Varjagové. (Báseň.) Viz zázn. 790.			
Benhart, František	97 O slovinských nakladatelstvích. (Přehled činnosti nakladatelství Cankarjeva založba, Državna založba Slovenije, Mladinska knjiga a Slovenski knjižni za vod.) 1 /1, str. 255-256.			
Benhart, František	98 Světová literatura. (Článek o koncepci časopisu .) 5/1, str. 230. - Přetištěno z Plamene č. 3, 1959.		1960	1
Béranger, Pierre	Jean de Nabuchodonosor - Pan senátor. (Písně.) Viz zázn. 334. 26			
Berezovská, Zina	"99 Básnlk Ivan Franko. Recenze (výboru „Poesie""). 1 /6, str. 233-236. - Portrét I. Franka od Stanislava Kolíbala."			
Bergeret	100 ... Nikdy mu nezbývalo času na myšlen/ ... (Citát literární postavy z díla Anatola France.) Přeloženo z francouzštiny. 5/S, str. 38.	French		
Berggol'c, Ol'ga Fedorovna	101 Boris Kornilov. (Stať doplňující ukázku z básníkova díla.) Přeloženo z ruštiny. 6/5, str. 90-91.	Russian	1961	5
Bergman, Bo	Měsfčnl svit na Strčimmenu. (Báseň .) Viz zázn. 790.			
Berka, Čestmír	"102 „Toros y Toreros"" Pabla Picassa. (Úvod k ukázkám Picassových kreseb toreadorů a býků . ) 6/5, str. 47, 48, 49, 59, 79, 171 , 223. - K osmdesátým narozeninám Pabla Picassa."		1961	5
Bernier, Armand	Lidská rodina - Mí drazl kolouši, mé drahé holubice. (Básně . ) Viz zázn. 627.			
Bernštejn, lnna Abramovna	"103 Je nesporné, že sovětská literatura, zvláště díla takových m istrů socialistického realismu.. . Z článku „Poznámky o současném československém románu"" (lnostrannaja literatura, 2/1957). Přeloženo z ruštiny. 2/4, str. 2S6."	Russian	1957	4
Bessie, Alvah	Mému mrtvému bratrovi. (Báseň . ) Viz zázn. 76.			
Beti, Mongo	Le pauvre Christ de Bomba (Chudák Kristuspán z Bomby). Recenze s ukázkami. Viz zázn. 583.			
Bidstrup, Herluf	Kreslené vtipy. Viz zázn. 649.			
Bidstrup, Herluf	104 Reprodukce kreseb. 1/4, str. 12,176.		1956	4
Biebl, Konstantin	105 Brusiči jazyka zapomínají, že proud ulice a promenád ... (Citát.) 5/6, str. 177.		1960	6
Biebl, Konstantin	106 Čím básník poznává? . .. (Citát.) 5/6, str. 87.		1960	6
Javanka.	(Báseň.) Francouzský překlad. Viz zázn. 855.			
Javanka.	107 Kdo tvolí jenom rozumem a vůl/, ten tvoří stroj ... (Citát.) 5/6, str. 133. 27 !		1960	6
Javanka.	"108 „Není krásy, jsou jenom krdsné věci,"" bylo už ddvno před ndmi ... (Citát.) 5/6, str. 224."		1960	6
Javanka.	109 Tvořeni je vdlka dvou světů ... (Pět citátů.) 5/6, str. 236 až 237.		1960	6
Javanka.	110 V naší době sklddají se ještě zaprdšené verše ... (Citát.) 5/6, str. 183.		1960	6
Javanka.	Večer u morja. (Báseň.) Přeložil Leonid Martynov. Viz zázn. 203.			
Biedma, Jaime Gil de	111 Druzi z cest. (Básně.) Ze španělštiny přeložil Jiří Němec za jazykové spolupráce Josefa Forbelského. 5/5, str. 121 až 126. - Úvodní poznámka. Jak je vidět - Od této chvíle - Podoby - Píseň pro tamten den - Z dálky.	Spanish	1960	5
Bieler, Manfred	112 Můj příběh - Narozeniny mého otce - Zimní krajinka - La-la-la - Konečně to víme - Kybernetickd odpověď. (Satirické povídky.) Z němčiny přeložil Bedřich Becher. Ilustroval Karel Nepraš. 8/2, str. 65-84. - Charakteristika s autorovou fotografií.	German	1963	2
Bijelié, Jovan	"113 Reprodukce obrazu „Dvůr v Bělehradě"". 3/3, str. 32."		1958	3
Bischof, Werner	Ukdzky z díla. Viz zázn. 297.			
Bitov, Andrej	114 Velikánský balón. (Povídka.) Z ruštiny přeložil Jaroslav Hulák. 9/2, str. 73-78. - Poznámka se stručnou autobiografií autora. Fotografie autora.	Russian	1964	2
Blahynka, Milan	115 Básníci zblfzka. Zamyšlení nad prvními knížkami nové edice básni Plamen. (Recenze se týká těchto básnických sbírek: Johannes R. Becher: Má dobo, čase můj - Nicolas Guillén: Antilské elegie - Langston Hughes: Černoch si zpívá blues - Konstanty lldefons Gakzynski: Divoké víno - Rafael Alberti: Čiré jako voda.) 3/5, str. 235-248.		1958	5
Blahynka, Milan	116 Nezval - překladatel. (Studie.) 5/3, str. 227-234. - V ukázce otištěny dosud nevydané překlady básní Charlese Baudelaira Ranní svítání, Víno milenců, Prokleté ženy, Lethe. Fotografie V. Nezvala.		1960	3
Blake William	117 Bez pošetilosti jiných bychom byli pošetilí sami. (Citát.) Přeloženo z angličtiny. 2/6, str. 236. 28	English	1957	6
Blake William	118 Orel nikdy neztratil tolik času ... {Citát.) Přeloženo z angličtiny. 2/6, str. 16.	English	1957	6
Blake William	119 Zpěv o zpěvu - Nemocná rilže - Moucha - Tygr - Londýn - Lidský pomysl - ta/ v plenkách - Jedovatý strom - Usnula láska na stráni - Zahrada lásky - Viděl jsem kapli ze zlata - + + + - Proroctvl nevinnosti - Urizenovi synové - Úryvek z Asie. (Básně.) - Čtyři citáty. Z angličtiny přeložil Jiří Valja. Ukázky ilustrací z autorových knih. 2/6, str. 1-9. - K dvoustému výročí na• rozeni (28.11.1757), jehož vzpomíná Světová rada míru. Básníkova posmrtná maska.	English	1957	6
Blanchot, Maurice	"120 Dílo a sděleni. (Esej.) Z francouzštiny přeložil Vladimir Mikeš. Úvodní stať „Nesnadný esejista"" napsal Jan ~ezáč. 10/3, str. 158-166."	French	1965	3
Blassingame, Wyatt	121 Odvaha. (Povídka.) Z angličtiny přeložila Zora Wolfová. Ilustroval Vladimir Fuka. 7/1, str. 68-72. - Stručná charakteristika autora.	English	1962	1
Blicher, Steen Steensen	122 Farář z Vejlby. Kriminální příběh (podle deníku okresního správce Erika S0rensena, doplněno dvěma zápisky faráře z Als0). Z dánštiny přeložili Helena Fialová a František Frohlich, který také napsal zaverecnou poznámku o autorovi. 7/6, str. 242-256. - Dobový portrét autora.	Danish	1962	6
Blok, Aleksandr Aleksandrovič	123 Tak bez jména jde bož/ho ... (Úryvek z poemy Dvanáct.) Přeloženo z ruštiny. 2/5, obálka s. 3.	Russian	1957	5
Blomberg, Erik	Neboj se tmy. (Báseň.) Viz zázn. 790.			
Btonski, Jan	124 Gakzytíski. 1945-1953. (Studie.) Z polštiny přeložila Vlasta Dvořáčková, verše přebásnil Jan Pilař. 1 /6, str. 161-189.	Polish		
Blues	"125 Blues. (Ukázky textů.) Blues o blues přeložila Jiřina Hauková, Blues o silikose J. C. (= Jindřich Chalupecký), Blues štěničí bandy, Blues poslední míle, Blues o kostele a činži, Blues vozu policejní patroly a Blues špitálu sv. Jakuba přeložili Josef Škvorecký a Lubomír Dorůžka, blues Vy nevíte, jak je člověku, Mám bídnou náladu, Samotná v domě, On mě studí v náručí, Blues o mužích, 29 East St. Louis Blues, Zbav mě toho mužskýho, Dopis o smrti, Blues bez domova Stanislav Mareš. 2/1, str. 84-96. - S úvodní poznámkou. Reprodukce obrazů a kreseb Covarrubiase, Charlese Whita, Aarona Douglasse a obrazu Henriho Matisse „z cyklu Jazz""."		1957	
Bobrowski, Johannes	Kaunas 1941 - Domov malíře Chagalta - Ptačí cesty 1957. (Básně.) Viz zázn. 1193.			
Bodart, Roger	Testament. (Báseň.) Viz zázn. 627.			
Bodet, Jaime Torres	Civilizace. (Báseň.) Viz zázn. 912.			
Bogomolov, Vladimir Osipovič	126 Ivan. (Povídka.) Z ruštiny přeložila Jarmila Fromková. 4/2, str. 139-171. - Úvodní poznámka.	Russian	1959	2
Boll, Heinrich	Ansichten eines Clowns (Klaunovy názory). Recenze s ukázkami. Viz zázn. 571.			
Boll, Heinrich	127 Bilance. Rozhlasová hra. Z němčiny přeložil Jiří Janovský. 8/2, str. 242-256.	German	1963	2
Boll, Heinrich	128 Dopis Heinricha Bolta. Psáno pro Světovou literaturu. Z němčiny přeložila Květa Hyršlová. Snímek autora od Jana Pařika. 9/3, str. 215-217.	German	1964	3
Boll, Heinrich	129 Když válka začala ... - Když válka skončila. (Povídky.) Z němčiny přeložila Heda Kovályová. Ilustroval Vladimír Jarcovják. 9/1, str. 44-62.	German	1964	1
Boll, Heinrich	130 Klaunovy názory. (Román.) Z němčiny přeložil Vladimír Kafka. Ilustroval Jiří John. 10/5, str. 11-59; 10/6, str. 135-177. - Fotografie autora.	German	1965	5
Boll, Heinrich	"131 Nejen v čas vánoční - Nesmrtelná Theodora - V zemi Rujuků - Lohengrinova smrt - Můj smutný obličej - Moje drahá noha - I děti jsou civilisti. Povídku „Nejen v čas vánoční"" přeložila z němčiny Anna H. Urbanová, ostatní Bohumil Černík. 2/6, str. 17-42. - Úvodní poznámka. Fotografie autora."	German	1957	6
Bonosky, Phillip	132 Rekord Johnnyho Cucua. (Povídka.) Z angličtiny přeložila L. Novotná. Ilustrovala Mirka Miškovská. 4/6, str. 107 až 113. - Poznámka.	English	1959	6
Borges, Jorge Luís	Bezesnost. (Báseň.) Viz zázn. 1065. 30			
Borges, Jorge Luís	133 ťekdnf - Loterie v Babylónu - Smrt a kompas. (Povídky.) Vybral a ze španělštiny přeložil Kamil Uhlíř. Ilustroval Jiří Balcar. 9/3, str. 177-189. - Předchází studie	Spanish	1964	3
Borges, Jorge Luís	Kamila Uhlíře o autorovi. 134 Kovdrna snů. (Básně.) Vybral a ze španělských originálů přeložil Lumír Čivrný. 9/3, str. 171-176. - Předchází studie Kamila Uhlíře o autorovi. Kovárna snů - Na obzoru jednoho předměsd - Stepní roviny - Dvojakost loučení - Chvástání ticha - Zaslíbení na širém moři - Dulcia linquimus arva - Téměř poslední soud - Hasnoucí slunce ve čtvrti Villa Ortúzar - Mýtus o zalofení města Buenos Aires.	Spanish	1964	3
Borchert, Wolfgang	135 Lucerna, noc a hvězdy (Básně.) - Venku přede dveřmi (Hra.) - Kuželnfk - Mnoho, mnoho sněhu - Ježfš s ndmi už nepeče - Radi - V noci přece krysy sp{ - ternf tři krdlové - Chléb - Kuchyňské hodiny - Pampeliška - Šišyfuš neboli ťFšník mého strýce (Povídky.) Verše přeložil z němčiny Josef Hiršal, povídku Šišyfuš Bohumila Grogerová, ostatní povídky a hru Josef Čermák. Ilustroval Vladimír Fuka. 3/4, str. 47 až 105. - Předchází stať Josefa Čermáka Člověk v troskách.	German	1958	4
Borščagovskij, Aleksandr Michajlovič	136 Hleddní mladé prózy. Projev přednesený na plenárce mladých moskevských spisovatelů v září 1962. Z ruštiny přeložili Jaroslav Hulák a Miroslav Lukáš. 8/1, str. 39-65.	Russian	1963	1
Botev, Christo	137 Satirické prózy Christa Boteva. Tři fejetony. Z bulharštiny přeložila Hana Reinerová. 1/2, str. 129-136. - Životopisná poznámka o autorovi. Politická zima - Víš ty, kdo my isme1 - Tohle vás čeká.	Bulgarian	1956	2
Bouček, Zdeněk	138 /{/kejte tomu zkušenost. (Cali lt Experience.) Autobiografie Erskina Caldwella. Recenze. 4/2, str. 241-245. - Fotografie obálky recenzované knihy.		1959	2
Boye, Karin	V pohybu. (Báseň.) Viz zázn. 790.			
Bradbury, Ray	139 451 stupňů Fahrenheita. Román. Z angličtiny přeložili Jarmila Emmerová a Josef Škvorecký. Kresba a obálka amerického vydání od Joe Mugnainiho.1/1, str. 89-122; 1/2, str. 82-128. - Úvodní stať s fotografií autora. Fotografie obálky amerického vydání.	English	1956	2
Bradbury, Ray	140 Emisar - Listopad 2005: Mrtvd sezóna. (Povídky.) Z angličtiny přeložila Jarmila Emmerová. 3/2, str. 239-249. 31 - Fotografie autora. Poznámka. Zahrnuto v článku Jungwirth-Škvorecký-Dorůžka: Marsyas USA.	English	1958	2
Braine, John	Room at the Top. Recenze s ukázkami. Viz zázn. 1216.			
Brancusi, Constantin	Ukázky z díla. Viz zázn. 1305.			
Brandt, Bill	Ukázka z díla. Viz zázn. 296.			
Brandt, Bill	Ukázky fotografických aktů. Viz zázn. 476. Brandys, Kazimierz Dopisy pro pani Z. Recenze s ukázkami. Viz zázn. 794.			
Brandt, Bill	"141 Obrana „Granady"". Povídka. Z polštiny přeložila a úvodní poznámku napsala Lenka Teigová. 1/2, str. 56-76."	Polish	1956	2
Branner, H, C.	142 Koncem srpna - Síla peněz. (Povídky.) Z dánštiny přeložil František Frohlich. Kresba Karla Kilbergera a Jiřího Balcara. 3/2, str. 119-131. - Předchází studie L. P. R0mhilda Pohled na moderní dánskou literaturu.	Danish	1958	2
Braque, Georges	143 Braquovy reflexe o umění. Přeloženo z francouzštiny. 7/3, str. 92, 157. Ukázky z df/a. Viz zázn. 915.	French	1962	3
Brassai	Ukázky z tvorby. Viz zázn. 1170.			
Bratié, Stojan	"144 Reprodukce sochy „Zamilovaný harlekýn"". 3/3, str. 9."		1958	3
Brecht, Bertolt	145 Bertolt Brecht vypráví Příběh o Kavkazském křídovém kruhu. (Převyprávění obsahu hry.) Z němčiny přeložili Rudolf Vápeník a Ludvík Kundera. Kresby Tadeusz Kulisiewicz. 3/5, str. 127-138.	German	1958	5
Brecht, Bertolt	Legenda o mrtvém vojákovi. (Báseň.) Viz zázn. 1147.			
Brecht, Bertolt	"146 Matka. Život revolucionářky Pelageji Vlasovové z Tveru. Podle románu Maxima Gorkého. Spolupráce: S. Dudow, H. Eisler, G. Weisenborn. (Hra.) Poznámky k „Matce"". Z němčiny přeložili Rudolf Vápeník a Ludvík Kundera. Fotografie z inscenace Berliner Ensemblu. 6/3, str. 1-54. - K pátému výročí úmrtí Bertolta Brechta dne 14. 8. 1956."	German	1961	3
Brecht, Bertolt	147 Život Galileiho. Podle textu zkráceného a upraveného autorem pro berlínské představeni přeložil Rudolf Vápe- 32 nik. Verše přeložili Ludvik Kundera. Snímky v textu jsou z prvního provedeni hry za války v New Yorku s Charlesem Laughtonem v titulní úloze. 2/1, str. 1-43. - Fotografie autora.		1957	
Brierre, Jean F.	148 Náramky bolesti. (Básně.) Z francouzštiny přeložil Petr Kopta. 6/6, str. 113-117. - Poznámka o autorovi. Převtělení - Přesto vós miloval. .. - Black Soul.	French	1961	6
Brinkley, William	Don't Go Near the Water. Recenze s ukázkami. Viz zázn. 1234.			
Brodskij, V. J.	149 Leonid Semjonovič Chižinskij. (Životopisná stať.) Reprodukce ilustraci L. S. Chižinského na str. 57, 113,133,189, 207, 217, 218 a 226. 3/6, str. 57.		1958	6
Broch, Hermann	150 Z Vergilovy smrti. (Úryvek z románu.) Z němčiny přeložil Rio Preisner. 10/1, str. 159-170. - Předchází studie Rio Preisnera Marginálie k dílu Hermanna Brocha.	German	1965	1
Broniewski, Wladystaw	151 Já a verše. Z polštiny přeložil a úvodní poznámku napsal Jan Pilař. 7/6, str. 72-79. - 3 fotografie Henryka Her• manowicze, z nichž jedna je portrét autora. Sóm o sobě - Noční host (ze sbírky Dýmy nad mhtem 1926) - Jó a verše (ze sbírky Strom zoufalství 1945) - Květiny v pokoji - Baudelaire - Nespavost (ze sbírky Naděje 1951) - Plakát (1961) - Dub (Prosinec 1961 ). Ukázka z dfla. Viz zázn. 628.	Polish	1962	6
Brown, Harry	Dvě nesouvislá fakta. (Báseň.) Viz zázn. 768.			
Brown, William F.	"152 Jako každé nové literární hnut{ i zbitá generace dráždí měšťáky. (Citát a ukázky z knihy karikatur „Beat! Beat! Beat!"") Přeloženo z angličtiny. 4/6, str. 232-233. 8 obr."	English	1959	6
Broyard, Anatole	153 Nedělní oběd v Brooklynu. (Povídka.) Z angličtiny přeložil Petr Pujman. Ilustroval Vladimír Fuka. 7/1, str.46-53.Stručná charakteristika autora.	English	1962	1
Brueil, Sophie	"154 Vasco Pratolini, ,.Metel/o"" a otevřené dveře. Interview. 33 Z francouzštiny přeložila A. H. (= Alena Hartmanová). 1/5, str. 246-248. - Fotografie Vasca Pratoliniho. J"	French	1956	5
Bruynoghe, Yannick	Big Bill Blues, William Broonzy's Stary. Recenze s ukázkami. Viz zázn. 236.			
Buffet, Bernard	Reprodukce obrazů. Viz zázn. 1435.			
Bulatovié, Miodrag	155 Ďdblové přichdzejí - Hmyz. (Povídky.) Ze srbocharvátštiny přeložil a úvodní stať napsal Dušan Karpatský. Ilustroval Stanislav Kolíbal. 10/3, str. 132-154. - Fotografie autora.	Serbocroatian	1965	3
Bunin, Ivan Aleksejevič	"156 Poslední schůzka - Bratři! - Romdn hrbdče - Maska - Blahovolnd účast - Mlddí a stdří - Vlci - Pamdtný ples - Třetí třída (Povídky.) - Déšť bez konce ... - Sabaoth - Poslední slzy- Uviděl její smolný vlas ... (Básně.) Z ruštiny přeložila Lida Dušková. Verše přeložil Vojtěch Jestřáb. 3/1, str. 42-70. - Úvodní poznámka „Talent krásný jak matné stříbro"" s fotografií autora."	Russian	1958	1
Burdick, Eugene -Wheeler, Harvey	Fail-Safe. Recenze s ukázkami. Viz zázn. 901.			
Butler, Guy	Kapský barevný burš. (Báseň.) Viz zázn. 1287.			
Butor, Michel	Histoire extraordinaire, essai sur un r@ve de Baudelaire. Recenze s ukázkami. Viz zázn. 1341.			
Butor, Michel	157 Proměna. (Román.) Z francouzštiny přeložil Josef Pospíšil. Úvodní stať napsal Jan ~ezáč. 4/3, str.116-146;4/4, str. 25-89. - Fotografie autora. - Následuje stať André Wurmsera Butor obnovuje realismus.	French	1959	3
Butor, Michel	158 Před očima Herkulovýma. (Stať o výstavě moderního umění Documenta Ill v Kasselu.) Z francouzštiny přeložil a poznámku napsal Jan Vladislav. 10/4, str. 198-208. - V ukázkách výtvarného umění zastoupeni: Victor Vasarely, Alberto Giacometti, Francis Bacon, Fritz Hundertwasser, Kumi Sugai, K. R. H. Sonderborg, Jean lpousteguy, Henry Moore, Kenneth Armitage, Louise Nevelsonová, Joannis Avramidis, Antonio Tapies. Repertoire. Recenze s ukázkami. Viz zázn. 1341.	French	1965	4
